,Time,CO2
0,2022-12-21 00:00:00,562
1,2022-12-21 01:00:00,511
2,2022-12-21 02:00:00,511
3,2022-12-21 03:00:00,507
4,2022-12-21 04:00:00,498
5,2022-12-21 05:00:00,591
6,2022-12-21 06:00:00,512
7,2022-12-21 07:00:00,524
8,2022-12-21 08:00:00,534
9,2022-12-21 09:00:00,
10,2022-12-21 10:00:00,
11,2022-12-21 11:00:00,468
12,2022-12-21 12:00:00,452
13,2022-12-21 13:00:00,450
14,2022-12-21 14:00:00,491
15,2022-12-21 15:00:00,456
16,2022-12-21 16:00:00,461
17,2022-12-21 17:00:00,467
18,2022-12-21 18:00:00,449
19,2022-12-21 19:00:00,448
20,2022-12-21 20:00:00,447
21,2022-12-21 21:00:00,532
22,2022-12-21 22:00:00,460
23,2022-12-21 23:00:00,462
24,2022-12-22 00:00:00,465
25,2022-12-22 01:00:00,464
26,2022-12-22 02:00:00,463
27,2022-12-22 03:00:00,512
28,2022-12-22 04:00:00,473
29,2022-12-22 05:00:00,474
30,2022-12-22 06:00:00,471
31,2022-12-22 07:00:00,468
32,2022-12-22 08:00:00,681
33,2022-12-22 09:00:00,465
34,2022-12-22 10:00:00,435
35,2022-12-22 11:00:00,421
36,2022-12-22 12:00:00,415
37,2022-12-22 13:00:00,415
38,2022-12-22 14:00:00,418
39,2022-12-22 15:00:00,422
40,2022-12-22 16:00:00,430
41,2022-12-22 17:00:00,444
42,2022-12-22 18:00:00,459
43,2022-12-22 19:00:00,461
44,2022-12-22 20:00:00,468
45,2022-12-22 21:00:00,473
46,2022-12-22 22:00:00,483
47,2022-12-22 23:00:00,474
48,2022-12-23 00:00:00,477
49,2022-12-23 02:00:00,459
50,2022-12-23 03:00:00,463
51,2022-12-23 04:00:00,
52,2022-12-23 05:00:00,544
53,2022-12-23 06:00:00,457
54,2022-12-23 07:00:00,463
55,2022-12-23 08:00:00,469
56,2022-12-23 09:00:00,545
57,2022-12-23 10:00:00,442
58,2022-12-23 11:00:00,435
59,2022-12-23 12:00:00,444
60,2022-12-23 13:00:00,437
61,2022-12-23 14:00:00,436
62,2022-12-23 15:00:00,439
63,2022-12-23 16:00:00,444
64,2022-12-23 17:00:00,448
65,2022-12-23 18:00:00,432
66,2022-12-23 19:00:00,440
67,2022-12-23 20:00:00,559
68,2022-12-23 21:00:00,454
69,2022-12-23 22:00:00,459
70,2022-12-23 23:00:00,459
71,2022-12-24 00:00:00,461
